"label","Wikipage page ID"
"Vive Unique","46489061"
"Women's Voices for the Earth","46567213"
"Fundación Arturo Rosenblueth","47607304"
"Association of British Credit Unions","45349275"
"Central Arizona Museum Association","47443265"
"Commanders for Israel's Security","45527129"
"Fisheries Society of the British Isles","45617243"
"Florida Carry","45305648"
"GeoHazards International",""
"IMDEA Nanoscience Institute","47527353"
"National Fire Savers Credit Union","45352681"
"Omar-Sultan Foundation","47217077"
"Plane Saver Credit Union","45610753"
"Police Credit Union","45468773"
"Robert Connor Dawes Foundation","45489817"
"Southport Offshore Rescue Trust","47252816"
"The Co-operative Credit Union","45325197"
"The Hospital Research Foundation","45617247"
"Charitable Society of the Natives from Catalonia","47918253"
"Correctiv","47586197"
