"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"673268477","46860482","http://www.bouncelite.com/","Fotocapio"
"","","","Fountainhead School"
"","46693243","","Foxtel Arts"
"","","","Frank Sumner Dodge"
"","","","Franklin Community High School"
"681450620","47815283","http://franz.com","Franz Inc"
"","","","Frederiksværk Gymnasium"
"676737446","47008227","http://www.movimentobrasillivre.org","Movimento Brasil Livre"
"675887536","46746961","http://www.freechoicestores.com.au/","Free Choice Tobacconist"
"","","","Freebrough Academy"
"","","","Freedom and Direct Democracy"
"676535961","46474729","http://www.freezfm.nl","Freez FM"
"","","","Fédération française des sports de glace"
"","46895555","","Frenchville FC"
"677232268","46808584","http://www.freshchoice.co.nz/","FreshChoice"
"674090720","46534366","http://freshmail.com/","FreshMail"
"","","","Friends of Cancer Research"
"683734101","46594958","http://www.fromashestonew.com/","From Ashes To New"
"683792663","47766907","http://www.fuerza.org.gt/","Fuerza (political party)"
"682256256","47890335","http://www.fufanu.net","Fufanu"
