"label","Geburtsort"
"Hunter Siegel","http://dbpedia.org/resource/Ontario"
"Hussain Jawad","http://dbpedia.org/resource/Bahrain"
"Ian Reisner","http://dbpedia.org/resource/New_York_City"
"Ibrahim AlHusseini",""
"Igor Milić",""
"Ihor Duts","http://dbpedia.org/resource/Nyzhankovychi"
"Ike Odimegwu","http://dbpedia.org/resource/Delta_State"
"Imthias Kadeer",""
"Indi Cowie","http://dbpedia.org/resource/Boca_Raton,_Florida"
"Inez Storer","http://dbpedia.org/resource/California"
"Ionuț Caragea","http://dbpedia.org/resource/Romania"
"Iosune Murillo Elkano","http://dbpedia.org/resource/Spain"
"Iren Dimitrova",""
"Isaac Carree","http://dbpedia.org/resource/Greensboro,_North_Carolina"
"Isaac Waddington",""
"Isabella Bertold",""
"Ishitha Chauhan",""
"István Regős","http://dbpedia.org/resource/Budapest"
"István Simicskó","http://dbpedia.org/resource/Hungary"
"Ivan Bochev","http://dbpedia.org/resource/Bulgaria"
