"Wikipage disambiguates","Wikipage revision ID","Wikipage page ID","label"
"http://dbpedia.org/resource/Avraham_Kahneman","618459133","5663453","Kahneman"
"http://dbpedia.org/resource/Daniel_Kehlmann","602963863","6063621","Kehlmann"
"http://dbpedia.org/resource/Alice_Kertész","667671053","5505981","Kertész"
"","616191608","5398232","Khattab (name)"
"http://dbpedia.org/resource/Tessa_Ludwick","391952604","18276592","Ludwick"
"http://dbpedia.org/resource/Marolff","474325183","7142774","Marolf"
"http://dbpedia.org/resource/Arthur_Stephen_Paynter","561558052","7291912","Paynter"
"http://dbpedia.org/resource/Colin_Pickthall","671855408","6024821","Pickthall"
"http://dbpedia.org/resource/Bent_Peder_Rasch","628581157","7287605","Rasch"
"http://dbpedia.org/resource/Gideon_Rosenbluth","669340765","5496878","Rosenbluth"
"http://dbpedia.org/resource/Spacek_(band)","576050585","5976422","Spacek"
"http://dbpedia.org/resource/Elfie_Stejskal","557435363","5856165","Stejskal"
"http://dbpedia.org/resource/Erich_Straube","654576206","5900093","Straube"
"http://dbpedia.org/resource/Charles_Strick","588151139","7279347","Strick"
"http://dbpedia.org/resource/Cub_Stricker","663902066","20057845","Stricker"
"http://dbpedia.org/resource/Charles_H._Strub","574488751","5890352","Strub"
"http://dbpedia.org/resource/Bec_Stupak","422202177","5701453","Stupak"
"","","","Kleist (Adelsgeschlecht)"
"http://dbpedia.org/resource/Mieczysław_Wachowski","602345217","6252411","Wachowski"
"http://dbpedia.org/resource/Georg_Christoph_Wagenseil","544412944","5504211","Wagenseil"
